NOMBRE_COMUNA_EGRESO;IPS;PROMEDIO_COMUNA_gral;PROMEDIO_COMUNA_NOTA
LO ESPEJO;87.0;543.5;543.5
ÑUÑOA;30.63;571.53;571.53
LA PINTANA;89.36;526.5;526.5
ÑUÑOA;30.63;518.0;518.0
LAS CONDES;13.19;547.0;547.0
LAS CONDES;13.19;585.77;585.77
LA PINTANA;89.36;736.5;736.5
PROVIDENCIA;20.18;846.844845656949;846.844845656949
LO ESPEJO;87.0;682.0;682.0
LAS CONDES;13.19;798.5;798.5
LAS CONDES;13.19;504.5;504.5
LAS CONDES;13.19;516.77;516.77
LAS CONDES;13.19;511.5;511.5
ÑUÑOA;30.63;584.76;584.76
LAS CONDES;13.19;455.5;455.5
LO BARNECHEA;24.97;881.65;881.65
ÑUÑOA;30.63;483.33;483.33
VITACURA;3.32;502.5;502.5
LA REINA;32.42;603.5;603.5
LO BARNECHEA;24.97;800.5;800.5
LAS CONDES;13.19;400.5;400.5
LA PINTANA;89.36;806.5;806.5
PROVIDENCIA;20.18;416.0;416.0
LA PINTANA;89.36;555.09;555.09
ÑUÑOA;30.63;457.86;457.86
LA PINTANA;89.36;642.0;642.0
VITACURA;3.32;745.5;745.5
PROVIDENCIA;20.18;601.61;601.61
LA REINA;32.42;763.5;763.5
ÑUÑOA;30.63;586.86;586.86
ÑUÑOA;30.63;574.1;574.1
ÑUÑOA;30.63;576.89;576.89
VITACURA;3.32;452.0;452.0
LO ESPEJO;87.0;542.5;542.5
CERRO NAVIA;85.74;577.0;577.0
LA REINA;32.42;897.5;897.5
PROVIDENCIA;20.18;584.4;584.4
LA PINTANA;89.36;584.55;584.55
PROVIDENCIA;20.18;711.5;711.5
LAS CONDES;13.19;616.5;616.5
LA REINA;32.42;524.0;524.0
PROVIDENCIA;20.18;797.0;797.0
LA PINTANA;89.36;404.0;404.0
LA PINTANA;89.36;573.27;573.27
CERRO NAVIA;85.74;574.0;574.0
VITACURA;3.32;872.09;872.09
VITACURA;3.32;864.33;864.33
PROVIDENCIA;20.18;716.2378358591573;716.2378358591573
LAS CONDES;13.19;485.5;485.5
LA REINA;32.42;923.5;923.5
LA REINA;32.42;494.5;494.5
VITACURA;3.32;606.99;606.99
LA PINTANA;89.36;567.24;567.24
LA PINTANA;89.36;381.5;381.5
MARIA PINTO;83.02;583.0;583.0
LA PINTANA;89.36;634.28;634.28
LA PINTANA;89.36;574.83;574.83
ÑUÑOA;30.63;621.88;621.88
CERRO NAVIA;85.74;646.5;646.5
LA PINTANA;89.36;699.5;699.5
LO BARNECHEA;24.97;578.5;578.5
LAS CONDES;13.19;826.1114034416291;826.1114034416291
LA REINA;32.42;903.78;903.78
VITACURA;3.32;747.4836982854863;747.4836982854863
ÑUÑOA;30.63;861.0;861.0
LA PINTANA;89.36;566.76;566.76
LA REINA;32.42;793.2661744936609;793.2661744936609
LA REINA;32.42;481.0;481.0
CERRO NAVIA;85.74;451.5;451.5
LAS CONDES;13.19;671.6763611736237;671.6763611736237
ÑUÑOA;30.63;581.33;581.33
LO ESPEJO;87.0;650.0;650.0
ÑUÑOA;30.63;582.29;582.29
LO ESPEJO;87.0;497.1;497.1
LAS CONDES;13.19;585.61;585.61
PROVIDENCIA;20.18;878.5;878.5
LA REINA;32.42;573.5;573.5
VITACURA;3.32;486.5;486.5
LO BARNECHEA;24.97;717.5;717.5
LA PINTANA;89.36;673.0;673.0
VITACURA;3.32;821.0;821.0
PROVIDENCIA;20.18;589.72;589.72
VITACURA;3.32;684.5;684.5
LA REINA;32.42;444.5;444.5
LA REINA;32.42;873.85;873.85
ÑUÑOA;30.63;510.0;510.0
ÑUÑOA;30.63;573.82;573.82
LO BARNECHEA;24.97;534.99;534.99
CERRO NAVIA;85.74;566.5;566.5
LA REINA;32.42;602.0;602.0
PROVIDENCIA;20.18;573.69;573.69
LAS CONDES;13.19;849.255383102794;849.255383102794
LO ESPEJO;87.0;668.5;668.5
CERRO NAVIA;85.74;581.21;581.21
LA PINTANA;89.36;582.41;582.41
LA REINA;32.42;629.0;629.0
LA REINA;32.42;831.0;831.0
LA PINTANA;89.36;510.25;510.25
VITACURA;3.32;456.0;456.0
LA PINTANA;89.36;407.5;407.5
