NOMBRE_COMUNA_EGRESO;IPS;PROMEDIO_COMUNA_gral;PROMEDIO_COMUNA_NOTA
LAS CONDES;13.19;580.06;580.06
LA REINA;32.42;614.5;614.5
LO ESPEJO;87.0;709.0;709.0
LA REINA;32.42;420.5;420.5
VITACURA;3.32;673.5;673.5
LO ESPEJO;87.0;594.5;594.5
LA PINTANA;89.36;568.41;568.41
LO ESPEJO;87.0;435.76;435.76
CERRO NAVIA;85.74;852.5;852.5
LA REINA;32.42;812.5;812.5
LA REINA;32.42;733.0;733.0
CERRO NAVIA;85.74;422.0;422.0
LAS CONDES;13.19;725.5;725.5
LA PINTANA;89.36;588.62;588.62
PROVIDENCIA;20.18;437.0;437.0
PROVIDENCIA;20.18;676.0;676.0
LA REINA;32.42;649.0;649.0
ÑUÑOA;30.63;499.56;499.56
VITACURA;3.32;529.5;529.5
LAS CONDES;13.19;540.5;540.5
