NOMBRE_COMUNA_EGRESO;NOMBRE_UNIDAD_EDUC;PROMEDIO_COLEGIO
LAS CONDES;COLEGIO TEC.HOTELERIA Y GASTRONOMIA ACHIGA CO;556.9171337579618
MAIPU;LICEO INDUSTRIAL DOMINGO MATTE PEREZ;563.7631666666667
PUENTE ALTO;LICEO PUENTE ALTO;563.444375
MAIPU;LICEO MATER PURISSIMA;660.1211926605505
PUENTE ALTO;COLEGIO PART.POLITECNICO EYZAGUIRRE;560.9775330396476
LA PINTANA;COLEGIO EL ALMENDRAL;510.0
PUENTE ALTO;COLEGIO SOCHIDES;526.9942307692307
VITACURA;COLEGIO SAN BENITO;821.3433571428571
RECOLETA;COLEGIO SAN BENILDO;569.0244827586207
ÑUÑOA;COLEGIO INSTITUTO SANTA MARIA;682.454888888889
PROVIDENCIA;WEXFORD COLLEGE N 2;615.4882352941177
RENCA;CENTRO EDUCACIONAL FEDERICO GARCIA LORCA;547.5938181818182
MAIPU;COLEGIO SANTA URSULA;762.2985087719298
SAN BERNARDO;CENTRO EDUCACIONAL BALDOMERO LILLO;522.81125
SANTIAGO;COLEGIO POLIV. MANUEL BAQUEDANO;692.4483333333334
ÑUÑOA;COLEGIO MANQUECURA ÑUÑOA;738.0522448979591
PUENTE ALTO;LICEO BICENTENARIO TÉCNICO LAS NIEVES;537.9358297872341
SAN MIGUEL;ESCUELA  E INSTITUTO DE MADRID;519.3199999999999
SAN JOAQUIN;COLEGIO ESPIRITU SANTO DEL VERBO DIVINO;543.0183333333333
SANTIAGO;LICEO FRANCES;756.2233333333334
LA CISTERNA;LICEO PORTAL DE LA CISTERNA;574.24225
LA CISTERNA;LICEO BICENTENARIO INDUSTRIAL DE ELECTROTECNIA RAMON B;595.8244785276073
LA FLORIDA;COLEGIO SAN DAMIAN;617.7716447368421
LA CISTERNA;COMPLEJO EDUCACIONAL LOS ANDES;536.0
LAMPA; ;605.5062594268477
EL BOSQUE;LICEO CHRISTA MC AULIFFE;577.5988571428571
BUIN;LICEO TECNICO PROFESIONAL DE BUIN;528.703670886076
MAIPU;COLEGIO PARTICULAR DE ADULTOS SANTA MARIA DEL TRABAJO;543.0765384615385
PUENTE ALTO;LICEO IND. MUNICIPALIZADO A N_ 116;536.2097540983606
LA FLORIDA;COLEGIO ALAIN DE LA FLORIDA;568.1061538461538
COLINA;COLEGIO DESIREE;587.2326666666667
LA FLORIDA;COLEGIO FLORIDA HIGH SCHOOL;601.3080769230769
EL BOSQUE;ESCUELA PARTICULAR CAMPANITA;500.5
EL BOSQUE;COLEGIO JUAN BAUTISTA DURAN;551.8498000000001
ÑUÑOA;COL TEC PROFESIONAL REPUBLICA ARGENTINA;557.8728484848485
PEÑALOLEN;COLEGIO PEDRO DE VALDIVIA -PEÑALOLEN;738.557514619883
QUILICURA;COMPLEJO EDUCACIONAL J. MIGUEL CARRERA;526.3356849315068
SAN BERNARDO;COLEGIO SUPERIOR DEL MAIPO;620.30832
MAIPU;INSTITUTO SAN SEBASTIAN DE MAIPU;574.0
SANTIAGO;INSTITUTO TABANCURA;570.0
LAS CONDES;COLEGIO CIUDADELA MONTESSORI DE LAS CONDES;680.1428571428571
ÑUÑOA;LICEO JOSE TORIBIO MEDINA;621.5213315926893
ÑUÑOA;INST. POLITEC. PROF. GUILLERMO GONZALEZ HEINR;561.613596491228
SANTIAGO;LICEO  MARIA AUXILIADORA;650.5
SANTIAGO;LICEO INDUSTRIAL DE LA CONSTRUCCION VICTOR BEZANILLA SALINAS;552.2531250000001
LA FLORIDA;COLEGIO QUINTO CENTENARIO CORDILLERA;592.210125
MELIPILLA;COLEGIO POMAIRE;570.3000000000001
PAINE;COLEGIO PART. MARIA ANA MOGAS;653.7746788990826
LAS CONDES;COLEGIO JOHN ANDREWS ADVENTIST ACADEMY;685.3786440677966
INDEPENDENCIA;COLEGIO PARTICULAR JUAN PABLO;544.9330769230769
TALAGANTE;COMPLEJO EDUC. AGRICOLA DE TALAGANTE;574.5
QUINTA NORMAL;LICEO BICENTENARIO INDUSTRIAL VICENTE PEREZ ROSALES;564.948024691358
SAN BERNARDO;INSTITUTO SAN PABLO MISIONERO;646.8660377358491
MELIPILLA;COLEGIO PARTICULAR MELIPILLA;629.8076288659794
EL BOSQUE;CENTRO EDUCACIONAL MATIAS COUSINO;523.3875609756097
LA FLORIDA;COLEGIO ALCANTARA CORDILLERA;669.5
MACUL;COLEGIO SAN MARCOS;682.7198924731182
SANTIAGO;COLEGIO  PEDRO DE VALDIVIA-AGUSTINAS;733.0078612716763
SANTIAGO;INSTITUTO DE ENS.MEDIA CLAUDIO MATTE;686.7260714285715
MAIPU;COLEGIO DE LA PROVIDENCIA C.LARRAIN DE I;604.4156428571429
PEDRO AGUIRRE CERDA;LICEO TÉCNICO CLOTARIO BLEST RIFFO;513.0215068493151
LAS CONDES;COLEGIO SAN FRANCISCO DE ASIS;793.5325301204819
SAN MIGUEL;ESCUELA INDUSTRIAL PART. LAUTARO;517.3285714285714
SANTIAGO;LICEO MIGUEL DE CERVANTES Y SAAVEDRA;588.6234
SAN MIGUEL;COLEGIO BICENTENARIO SANTO CURA DE ARS;624.9582203389831
SAN PEDRO;LICEO MUNICIPAL DE SAN PEDRO;564.5467142857142
MAIPU;COLEGIO OXFORD COLLEGE;717.0
MAIPU;LICEO MAIPÚ DE LAS ARTES Y LA TECNOLOGÍA;560.4300917431192
PEÑALOLEN; ;605.5062594268477
SAN MIGUEL;COLEGIO  PAULO  FREIRE  DE  SAN  MIGUEL;565.6371666666668
LAS CONDES;COLEGIO CUMBRES;818.726282051282
SANTIAGO;LICEO JOSÉ DE SAN MARTIN;562.3271052631579
CERRILLOS;ESCUELA INDUSTRIAL PARTICULAR CERRILLOS;553.184
SANTIAGO;CENTRO EDUCACIONAL DE ADULTOS EL PRADO;534.9333333333333
LA FLORIDA;COLEGIO POLIV. SAN SEBASTIAN DE LA FLORIDA;561.3641025641026
RECOLETA;INSTIT.CAPITAN JOSE LUIS ARANEDA C.;443.64
CERRILLOS; ;605.5062594268477
PEDRO AGUIRRE CERDA;INSTITUTO COMERCIAL PADRE ALBERTO HURTADO DE PEDRO AGUIRRE CERDA;530.7485416666667
INDEPENDENCIA;LICEO POLIVALENTE A80 PRESIDENTE JOSE MANUEL BALMACEDA;561.2342028985507
PADRE HURTADO; ;605.5062594268477
ESTACION CENTRAL;COLEGIO GREENLAND SCHOOL;736.204262295082
CERRO NAVIA; ;605.5062594268477
LA REINA;COLEGIO CORONEL ELEUTERIO RAMIREZ MOLINA;625.16075
LA GRANJA;LICEO BICENTENARIO NUESTRA SEÑORA DE GUADALUPE;600.7977884615385
LA FLORIDA;COLEGIO PARTICULAR NUEVA ERA SIGLO XXI;625.3465346534654
LA FLORIDA;WASHINGTON CENTER LA FLORIDA;621.5566666666667
SANTIAGO;LICEO POLIVALENTE ITALIA;876.5
TALAGANTE;COLEGIO PARTICULAR INTEGRAL ARTURO PRAT;641.9521951219513
SAN MIGUEL;COLEGIO PANAMERICAN COLLEGE;715.0
LA FLORIDA;INSTITUTO DE A MANUEL BULNES PRIETO;638.5
PUENTE ALTO;LICEO MUNICIPAL CHILOE;546.2770967741935
LAMPA;ESC PART. SIGLO XXI DE LAMPA;523.069
MAIPU;COLEGIO, LICEO COMERCIAL SAN JOSE;660.304
MAIPU;CENTRO EDUCACIONAL PIAMARTINO CAROLINA LLONA DE CUEVAS;549.3502456140351
RENCA;CENTRO EDUCACIONAL LAURA VICUNA;510.8988461538462
LAS CONDES;LICEO ALEXANDER FLEMING DE LAS CONDES;680.4494949494949
PUENTE ALTO;CENTRO EDUCACIONAL FERNANDO DE ARAGON;566.3038736263736
MAIPU;COLEGIO PARTICULAR KRONBERG COLLEGE;649.4575
PROVIDENCIA;COLEGIO MARIA INMACULADA;696.35496
PUENTE ALTO;COLEGIO EDUC.PART. COMP.DE MARIA P. ALTO;630.7067826086957
SANTIAGO;LICEO COMERCIAL JOAQUIN VERA MORALES;570.8467391304348
QUILICURA;CENTRO EDUCACIONAL DE ADULTOS CEDUCA;574.17875
ÑUÑOA;LICEO BICENTENARIO CARMELA SILVA DONOSO;679.6941489361702
RENCA;LICEO INDUSTRIAL BICENTENARIO BENJAMIN DAVILA LARRAIN;556.7523923444976
MAIPU;COLEGIO JACQUES COUSTEAU;530.812619047619
EL BOSQUE;COMPLEJO EDUCACIONAL STELLA MARIS;605.930243902439
ESTACION CENTRAL; ;605.5062594268477
LO BARNECHEA;COLEGIO POLIVALENTE SAN RAFAEL;738.4694029850746
RENCA;COLEGIO POLIVALENTE BRITANIA RENCA;580.45
CERRO NAVIA;COLEGIO TEC. PROFESIONAL DON ENRIQUE ALVEAR;519.25
SAN MIGUEL;ESCUELA PARTICULAR Y COLEGIO CHILE;622.0074418604652
LAS CONDES; ;605.5062594268477
LA CISTERNA;COLEGIO SANTA ISABEL DE HUNGRIA;640.5294615384615
SAN BERNARDO;CENTRO EDUC.PART.ORDEN DE SAN JORGE;575.5265625
VITACURA;COLEGIO BRADFORD SCHOOL;766.2108571428571
INDEPENDENCIA; ;605.5062594268477
MAIPU;ESCUELA PARTICULAR SALVADOR DALI;577.0
LO PRADO;LICEO TENIENTE DAGOBERTO GODOY NO.3;581.27
SANTIAGO;COLEGIO SANTA ELENA CARMELITAS MISIONERAS TERESIANA;646.8131111111111
PUENTE ALTO;COLEGIO PEDRO APOSTOL;621.7624509803921
LA REINA;COLEGIO SUPERIOR CAMBRIDGE;637.77125
SAN BERNARDO;INSTITUTO SAGRADO CORAZON;657.5185616438357
SANTIAGO;COLEGIO DE ADULT.ACADEMIA ESTUDIOS MIRAFLORES;592.6078378378379
LO PRADO;COMPLEJO EDUCACIONAL PEDRO PRADO;532.467
PEÑALOLEN;FUNDACIÓN EDUCACIONAL COLEGIO NOTRE DAME;675.1649382716049
PUENTE ALTO;COLEGIO LOS NOGALES;685.6541935483871
RENCA; ;605.5062594268477
LA FLORIDA;COLEGIO SHIRAYURI;746.96
SAN RAMON;CENTRO EDUCACIONAL MIRADOR;541.0769696969697
MACUL;COLEGIO POLIV. ROCKET COLLEGE;559.8463636363635
LA CISTERNA;COLEGIO IDOP LIMITADA;577.7814592274677
LA CISTERNA; ;605.5062594268477
LA CISTERNA;CHILEAN EAGLES COLLEGE - LA CISTERNA;620.2006034482758
PUENTE ALTO;COLEGIO ENSENADA;648.79
SANTIAGO;COLEGIO SANTA MARIA DE SANTIAGO;635.6261363636364
ÑUÑOA;LICEO INDUSTRIAL BICENTENARIO CHILENO ALEMAN;601.1880099502487
PUENTE ALTO;COLEGIO PART.SAN ESTEBAN DE LAS VISCACHA;545.331875
LA FLORIDA;COLEGIO SAN CRISTOBAL DE LAS CASAS;582.0118478260869
SAN JOAQUIN;ESCUELA IND. SAN ANTONIO DE PADUA;617.53
LA FLORIDA;INSTITUTO LA SALLE;700.2309352517987
SANTIAGO;COLEGIO ADVENTISTA PORVENIR;625.4113043478261
EL BOSQUE;COLEGIO POLIVALENTE AGUSTINIANO DE EL BOSQUE;674.0261847389557
MELIPILLA;LICEO POLITECNICO MUNICIPAL MELIPILLA;539.0347222222222
PEÑALOLEN;LICEO POLITEC.PARTICULAR CARMEN ARRIARAN;559.4694117647059
TALAGANTE;ESCUELA TECNICA SANTA MARIA MICAELA;523.8158771929825
SAN MIGUEL;COLEGIO PART. LOS ANGELES SANTIAGO DE SAN MIG;558.7413793103449
EL BOSQUE;CENTRO EDUC. DENVER COLORADO SCHOOL;556.5444642857143
MAIPU;COLEGIO SAN ANDRES DE MAIPU;619.71921875
EL BOSQUE;COMPLEJO EDUCACIONAL FELIPE HERRERA LANE;504.5
ESTACION CENTRAL;LICEO DE ADULTOS ESTACION CENTRAL;925.0
LA FLORIDA;COLEGIO POLIVALENTE LOVAINA;557.9305263157895
LA PINTANA;COLEGIO JORGE HUNEEUS ZEGERS;558.6676056338029
INDEPENDENCIA;COLEGIO POLITECNICO AVDA. INDEPENDENCIA;553.85
LA FLORIDA;COLEGIO AMERICAN BRITISH SCHOOL;493.31
QUILICURA;COLEGIO PARTICULAR MELFORD COLLEGE;614.005
SAN MIGUEL; ;605.5062594268477
LA CISTERNA;LICEO LAURA VICUNA;606.3447761194029
LA GRANJA;SAINT CHRISTIAN COLLEGE;606.3652307692307
SANTIAGO;LICEO INDUSTRIAL A-22 DE SANTIAGO;548.0194666666666
PEÑAFLOR;LICEO TECNICO PROFESIONAL MALLOCO;526.9449999999999
PROVIDENCIA;COLEGIO DE ADULTOS INSTITUTO NUEVO BILBAO;590.6917808219179
PIRQUE;LICEO MUNIC. TEC. PROF. EL LLANO;554.1574390243903
TALAGANTE;ESCUELA PRESIDENTE PRIETO;592.87
SANTIAGO;COLEGIO SAINT ROSE SCHOOL;686.4251515151515
ÑUÑOA;COLEGIO THE ANGEL´S SCHOOL;724.0918421052633
CALERA DE TANGO;LICEO MUNICIPAL POETISA GABRIELA MISTRAL;546.884875
ÑUÑOA;LICEO AUGUSTO D HALMAR;821.819090909091
MACUL;LICEO BICENTENARIO JOAQUIN EDWARDS BELLO;523.5957142857143
PUENTE ALTO;COLEGIO SENDA DEL SABER;548.0172972972973
PEDRO AGUIRRE CERDA;COMPLEJO EDUC.PART.MONSENOR LUIS A.PEREZ;578.6200518134715
MAIPU;LICEO INDUSTRIAL ALBERTO WIDMER;546.7463720930233
QUINTA NORMAL;LICEO ALBERTO HURTADO;564.1998095238096
MELIPILLA;COLEGIO PART.SAN SEBASTIAN DE MELIPILLA;625.6608333333334
RECOLETA;COLEGIO POLIV. ALEJANDRO FLORES;595.5782242990655
MELIPILLA;COLEGIO PART. MANSO DE VELASCO MELIPILLA;732.0020000000001
MAIPU;COLEGIO SAN FRANCISCO MISIONERO;607.7520481927711
LO BARNECHEA;COLEGIO THE MAYFLOWER SCHOOL;791.3678095238095
EL BOSQUE;COLEGIO PART. NTRA. SRA. MARIA INMACULADA DEL;597.1156186612576
SANTIAGO;COLEGIO PARTICULAR MARÍA AUXILIADORA DE SANTIAGO;673.1133628318584
PUDAHUEL;INSTITUTO COMERCIAL SAN PABLO;585.9785714285715
RECOLETA;LICEO POLIVALENTE SANTA JULIANA;609.3580392156863
TALAGANTE; ;605.5062594268477
QUILICURA;COLEGIO PARTICULAR NOVO MUNDO;556.5773504273504
EL MONTE;C.E.I.A. PROFESOR HECTOR DUARTE;487.88916666666665
EL MONTE;LICEO POLIV. LUIS HUMBERTO ACOSTA GAY;511.23199999999997
EL BOSQUE;COLEGIO PARTICULAR TANTAUCO  EL BOSQUE;691.8753846153846
CONCHALI;COLEGIO LIBERTADOR SAN MARTIN;561.6894366197183
PUENTE ALTO;CENTRO EDUCACIONAL SAN CARLOS DE ARAGON;645.3376923076924
SAN MIGUEL;COLEGIO PART. CORAZON DE MARIA DE SAN MIGUEL;719.8389075630253
MAIPU;LICEO SANTIAGO BUERAS Y AVARIA;569.0905319148936
MAIPU;COLEGIO ANGLO MAIPU;621.1675
SANTIAGO;COLEGIO DE LOS SAGRADOS CORAZONES ALAMEDA;729.2674889867842
LA REINA;COLEGIO ETIEVAN;726.7525
SANTIAGO;CENTRO EDUCACIONAL INTEGRAL DE ADULT ACUARIO;577.0821296296297
PUDAHUEL;INSTITUTO TECNOLOGICO SAN MATEO;548.3493984962406
ÑUÑOA;CENTRO EDUC PROFES GMO GONZALEZ HEINRICH;588.980297029703
PEÑALOLEN;COLEGIO ALTAMIRA;649.7713475177304
LA REINA;COLEGIO TERESIANO ENRIQUE DE OSSO;751.6110924369748
SANTIAGO;LICEO POLITEC. PDTE. GABRIEL GONZALEZ VIDELA;537.5388429752065
EL BOSQUE;COLEGIO SANTA BARBARA COLLEGE;532.0666666666667
INDEPENDENCIA;LICEO MULTIGENERO DOCTORA ELOISA DIAZ INZUNZA;579.5506
LA PINTANA;COLEGIO MARISTA MARCELINO CHAMPAGNAT;557.488923076923
SANTIAGO;CENTRO DE EDUCACION INTEGRADA DE AD. CREANDO;638.642
MAIPU;COLEGIO SANTA MARIA DE MAIPU;665.1421011673151
LA PINTANA;COLEGIO KING SCHOOL CORDILLERA;557.7053917050691
SANTIAGO;COLEGIO ORATORIO DON BOSCO;625.7824999999999
SAN JOAQUIN;LICEO INDUSTRIAL DEL VERBO DIVINO;427.5
LA FLORIDA;BERNADETTE COLLEGE;618.3737931034483
SAN JOAQUIN;ESC. BASICA Y LICEO IND.SAINT LAWRENCE;483.275
PUENTE ALTO;COLEGIO POLIV. SIEMBRA;558.6616666666666
ESTACION CENTRAL;COLEGIO PIAMARTA;563.4346272493574
LA CISTERNA;COLEGIO PRINCESS ANNE SCHOOL;751.2122727272726
QUILICURA;COLEGIO PARTICULAR SAN SEBASTIAN DE QUILICURA;577.9911309523809
EL BOSQUE;COLEGIO SANTO TOMAS DE AQUINO;641.6270454545455
LAS CONDES;COLEGIO WILLIAM KILPATRICK;750.8923076923077
HUECHURABA; ;605.5062594268477
PUENTE ALTO;LICEO SAN GERONIMO;537.1679545454546
SAN MIGUEL;INSTITUTO MIGUEL LEON PRADO;690.9743125
LA CISTERNA;ESCUELA BASICA Nº128 SAN RAMON;634.25
PADRE HURTADO;COMPLEJO EDUC.PART. LUIS PASTEUR;556.5076785714285
LA FLORIDA;ESCUELA RAIMAPU-TIERRA FLORIDA;661.1674590163934
CONCHALI;CENTRO POLITECNICO PARTICULAR CONCHALI;543.719247311828
PEDRO AGUIRRE CERDA;ESCUELA  CONSOLIDADA DAVILA;515.1436363636363
SAN MIGUEL;LICEO BETSABE HORMAZABAL DE ALARCON;561.809806451613
PROVIDENCIA;COLEGIO DE LOS SAGRADOS CORAZONES PROVIDENCIA;755.0423404255318
LA GRANJA;COLEGIO BETANIA;541.7866666666666
SANTIAGO;COLEGIO JUAN BOSCO;724.5
ESTACION CENTRAL;CENTRO EDUC.MUNIC. DR. AMADOR NEGHME RODRIGUEZ;558.8877777777777
PUENTE ALTO;COLEGIO MONTE DE ASIS;704.055
PUENTE ALTO;COLEGIO PARTICULAR ALTAZOR;739.0962790697674
ÑUÑOA;COLEGIO SAINT GASPAR COLLEGE;780.9725000000001
EL MONTE; ;605.5062594268477
MAIPU;ESC. BASICA PART. BOSTON COLLEGE LA FARFANA;602.3672142857143
MACUL;COLEGIO SAN VIATOR;649.8083333333334
LA FLORIDA;LICEO POLIVALENTE LOS ALMENDROS;534.2343333333333
SAN MIGUEL;INSTIT.POLIT.SAN MIGUEL ARCANGEL;546.791214953271
QUINTA NORMAL;LICEO COMERCIAL MOLINA LAVIN;547.0127619047619
PEÑALOLEN;COLEGIO POLIVALENTE YORK;595.941129032258
LAS CONDES;COLEGIO SAN LUIS DE LAS CONDES;593.7811764705883
ÑUÑOA;COLEGIO PARTICULAR N 1 DE NUNOA;622.5775862068965
SAN BERNARDO;COLEGIO DE ADULTOS JOSE ABELARDO NUNEZ-SAN BE;533.67
PUENTE ALTO;COMPLEJO EDUCACIONAL SAN ALFONSO;531.4225
PROVIDENCIA;INSTITUTO DE TABANCURA DE PROVIDENCIA;580.6584242424242
PADRE HURTADO;COLEGIO CASTELGANDOLFO;706.0246296296297
SAN RAMON;LICEO BICENTENARIO SAN FRANCISCO;602.249552238806
LA FLORIDA;COLEGIO POLIVALENTE EDUCADORA ELENA ROJAS;662.1666666666666
QUINTA NORMAL;COLEGIO PART. GABRIELA MISTRAL SOCIEDAD EDUCA;675.8518867924529
PIRQUE;ESCUELA AGROECOLOGICA DE PIRQUE;546.3455913978495
PEÑAFLOR;LICEO COMERCIAL REPUBLICA DE BRASIL;515.8114893617021
LA FLORIDA;CENTRO EDUCACIONAL LA FLORIDA;598.4657894736841
EL BOSQUE;COMPLEJO EDUC.PARTICULAR DE LAS ACACIAS;527.8490476190476
CONCHALI;COLEGIO CRISTOBAL COLON;577.9932394366197
RECOLETA;COLEGIO RAFAEL SANHUEZA LIZARDI;667.6096323529412
PUENTE ALTO;LICEO INDUSTRIAL DOMINGO MATTE MESIAS;802.5
TALAGANTE;COMPLEJO EDUCACIONAL ERNESTO MULLER LOPEZ;529.7025
EL BOSQUE;COLEGIO PAUL HARRIS SCHOOL;553.1107142857143
LA FLORIDA;COLEGIO PART. PATRONA SENORA DE LOURDES;689.180652173913
QUINTA NORMAL;COLEGIO POLITÉCNICO SANTA ANA;564.1410909090908
LA CISTERNA;CENTRO DE EDUC. INTEG. DE AD. FORJANDO FUTURO;587.11
MAIPU;COLEGIO PARTICULAR ALICANTE;675.8842226890756
LA REINA;COL. PART. SAGRADO CORAZON DE JESUS DE LA RE;696.5016101694915
RECOLETA;LICEO POLIVALENTE RAFAEL DONOSO CARRASCO;557.6730927835051
SANTIAGO;COLEGIO FILIPENSE;649.6102419354838
PUENTE ALTO;COLEGIO POLIV. PROFESOR ILDEFONSO CALDERON;566.2944615384615
MELIPILLA;COLEGIO POLITEC.NTRA.SRA.DE LA PRESENTAC;514.8681294964028
LO ESPEJO;LICEO POLITECNICO PART.SAGRADO CORAZON;565.8392
LA FLORIDA;COLEGIO ARTISTICO EL SALVADOR ANEXO;594.4305555555555
RECOLETA;LICEO INSTITUTO TECNOLOGICO Y COMERCIAL RECOLETA-INTECO;549.9653293413174
MELIPILLA; ;605.5062594268477
LA FLORIDA;ESCUELA PARTICULAR PHILIPPE COUSTEAU;564.5013888888889
QUINTA NORMAL;CENTRO EDUCACIONAL ALBERTO HURTADO;542.8203731343283
SAN BERNARDO;COLEGIO SAN FRANCISCO DE ASIS DE SAN BERNARDO;558.2457894736842
QUILICURA;COLEGIO POLIVALENTE NOVO HORIZONTE;561.5397267759563
PUENTE ALTO;COLEGIO ARTURO PRAT;564.7705357142858
PUDAHUEL;LICEO BICENTENARIO MONSENOR ENRIQUE ALVEAR;551.7038888888889
CONCHALI;LICEO POLIV. ABDON CIFUENTES;579.3663309352518
MACUL;COMPLEJO EDUCACIONAL ESPERANZA;574.9616666666667
QUINTA NORMAL;COLEGIO MARQUEL;623.6456666666667
LA FLORIDA;COLEGIO  PABLO APOSTOL;713.0260000000001
EL BOSQUE;COLEGIO POLITEC. MARIA GRISELDA VALLE S.;542.61224
MAIPU;CENTRO DE EDUC. TECN.PROFESIONAL CODEDUC;527.7841549295775
LA FLORIDA;COLEGIO POLIV. VICENTE VALDES;575.2027692307693
PUENTE ALTO;COLEGIO ESTELA SEGURA;629.2849206349206
LA CISTERNA;FROILAN YAÑEZ DE LA BARRA;596.9172222222222
SAN MIGUEL;ESCUELA DE LA INDUSTRIA GRAFICA HECTOR GO;571.2838
LA CISTERNA;CENTRO POLITEC. CARLOS CONDELL DE LA CISTERNA;528.68921875
LAS CONDES;COLEGIO PEDRO DE VALDIVIA LAS CONDES;728.9628472222222
PUENTE ALTO;CENTRO EDUC. PRINCIPADO DE ASTURIAS;561.5169642857143
PUENTE ALTO;ESCUELA CONSOLIDADA;568.2889743589743
PUENTE ALTO;COLEGIO EL SEMBRADOR ANEXO 2;657.172
MAIPU;LINCOLN COLLEGE SAN MARTIN;601.134099378882
SAN JOAQUIN;COLEGIO PART. NUESTRA SRA DEL HUERTO;652.2820930232558
PROVIDENCIA;INSTITUTO SAN SEBASTIAN DE PROVIDENCIA;553.0336842105263
SAN RAMON;COLEGIO POLIVALENTE FRANCISCO RAMIREZ;622.7372307692308
RECOLETA;CENTRO EDUCACIONAL SAN LORENZO;636.1573170731707
RECOLETA;LICEO AVENIDA RECOLETA;553.3826851851852
SANTIAGO;LICEO POLIV.LIB. GRAL JOSE DE SAN MARTIN;715.0
LA REINA;COLEGIO LARRAIN;688.0977777777778
PEDRO AGUIRRE CERDA;LICEO MUNICIPAL ENRIQUE BACKAUSSE;536.0394117647058
PUENTE ALTO;COLEGIO MAIPO;553.0670212765958
LA GRANJA;COLEGIO CHRISTIAN GARDEN SCHOOL;589.0509139784946
ÑUÑOA; ;605.5062594268477
PUENTE ALTO;COLEGIO ALICANTE DEL SOL;664.4143922651934
LA FLORIDA;COLEGIO LIAHONA CORDILLERA;656.8558646616541
LAS CONDES;LICEO BICENTENARIO SIMON BOLIVAR;684.0189320388349
LAS CONDES;COLEGIO CONCORDIA;683.125
SAN MIGUEL;LICEO COMERCIAL JAVIERA Y J L CARRERA N1;561.6427710843374
LA CISTERNA;COLEGIO SANTA MARIA DE LOS ANGELES;634.3452777777778
PUENTE ALTO;COLEGIO BICENTENARIO ARZOBISPO CRESCENTE ERRAZURIZ;658.9630285714286
COLINA; ;605.5062594268477
RENCA;COLEGIO POLIV. SAN JOSE DE RENCA;618.8281666666667
ESTACION CENTRAL;ESCUELA LICEO MADRE VICENCIA;611.6429655172414
LAS CONDES;COLEGIO SAN NICOLAS DE MYRA;764.3313793103448
LAS CONDES;COLEGIO SAN JORGE DE LAS CONDES;579.431
PEÑALOLEN;CENTRO EDUC.ADULTOS AMERICO VESPUCIO;572.8025
ÑUÑOA;COLEGIO SANTA GEMA GALGANI;634.7904347826087
BUIN;COLEGIO SAN ISIDRO;772.073698630137
INDEPENDENCIA;INST.COMERCIAL L.BERNARDO O`HIGGINS;385.5
SANTIAGO;LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS;546.1677639751553
CERRO NAVIA;COMPLEJO EDUCACIONAL CERRO NAVIA;541.8068181818181
PUENTE ALTO;COLEGIO POLIV. CARDENAL RAUL SILVA HENRIQUEZ;623.0700666666667
ÑUÑOA;COLEGIO CALASANZ;796.3695930232559
QUINTA NORMAL;ESCUELA INDUSTRIAL SIMON BOLIVAR;557.135
LA CISTERNA;COLEGIO TEC. PROF. SAN RAMON LA CISTERNA;538.7085714285714
TALAGANTE;LICEO AGRICOLA SANTA ANA;553.0
MAIPU;COLEGIO PREMILITAR GENERAL SAN MARTIN DE MAIPU;569.906393442623
PUENTE ALTO;COLEGIO NAVARRA;653.4992307692307
ALHUE;LICEO MUNICIPAL SARA TRONCOSO TRONCOSO;548.3482352941177
BUIN;LICEO POLIVALENTE LOS GUINDOS;501.825875
PUDAHUEL;COLEGIO POLIV. GERONIMO DE ALDERETE;597.0846357615894
QUINTA NORMAL;LICEO POLIV.SAN JOSE DE LA PRECIOSA SANG;632.82
SAN MIGUEL;COLEGIO SUBERCASEAUX COLLEGE;607.6348148148148
PUENTE ALTO;CARDENAL JUAN FRANCISCO FRESNO LARRAIN;547.8868468468469
PUENTE ALTO;COLEGIO TUPAHUE;603.6817441860464
LO BARNECHEA;COLEGIO TABOR Y NAZARETH;817.4009150326797
LA FLORIDA;LICEO ANDRES BELLO;621.1360747663551
LA FLORIDA;COLEGIO LE MONDE;628.7856603773585
RECOLETA;COLEGIO ACADEMIA DE HUMANIDADES;725.4456666666667
LA FLORIDA;COLEGIO PART. ALCANTARA DE LA FLORIDA;711.1420253164557
SANTIAGO;COLEGIO BICENTENARIO VICTORIA PRIETO;614.6902222222222
SAN JOSE DE MAIPO;COLEGIO ROCKVILLE COLLEGE;576.63
QUINTA NORMAL;LICEO POLITECNICO;532.9663768115942
LA REINA;COLEGIO SAN RAFAEL ARCANGEL;554.471
LAS CONDES;INSTITUTO DOCENCIA;616.1424999999999
LA GRANJA;LICEO POLIVALENTE BAHIA DARWIN;523.1945098039215
LO PRADO;COLEGIO ADVENTISTA SANTIAGO PONIENTE;598.9364285714286
LAS CONDES;COLEGIO SAN FRANCISCO DEL ALBA;687.3605102040816
LAS CONDES;COLEGIO DALCAHUE;578.8778571428571
PUENTE ALTO;EXTREMADURA DE PUENTE ALTO;630.2118181818182
LO ESPEJO; ;605.5062594268477
TALAGANTE;COLEGIO PARTICULAR BLUMENTHAL;573.2847154471546
SAN RAMON;LICEO MUNICIPAL PURKUYEN;525.2727906976744
MAIPU;LICEO NACIONAL DE MAIPU;722.426636904762
LAS CONDES;LICEO POLITECNICO LOS DOMINICOS;600.5
